DNA_TUBE_LABELS	SPECIMEN CODE	DNA all used up (tube tossed)	AHeditName	Used in Oaks of Americas study	COLLECTOR NUMBER	SPECIES	Collector Notes/Provin.	EXTRACTION DATE	Qubit tube A	Tube A current status	Qubit Tube B	Tube B current status	Nano lite: TUBE A 	tube A FM nano	Nano TUBE B 	Tissue Mass	A260/A280 tube A	A260/A280 tube B	Elution Volume (µl) tube3 a	Elution Volume B tubes	total ~µg in tube A	total ~µg in tube B	Total µg btwn A+ B	New Conc.	LOCATION_OF_DNA	Collector_Notes	Project	SPECIES.no.authors	Section	DNA extraction sheet
OAK-MOR-000299				n	IL-SH-197	Quercus (laceyi x stellata)		9/10/2012	17.1							40			100	100	1.6245	0	1.6245	8.55			Phylogeny of the Oaks of the Americas (2012)	Quercus (laceyi x stellata)	Quercus	
OAK-MOR-000300				n	IL-SH-198	Quercus (macrocarpa x gambelli)		9/10/2012	25.7							35			100	100	2.4415	0	2.4415	12.85			Phylogeny of the Oaks of the Americas (2012)	Quercus (macrocarpa x gambelli)	Quercus	
OAK-MOR-000301				n	IL-SH-199	Quercus x guadalupensis (aff. Stellata x macrocarpa)		9/10/2012	28.4							39			100	100	2.698	0	2.698	14.2			Phylogeny of the Oaks of the Americas (2012)	Quercus x guadalupensis	Quercus	
OAK-MOR-000302				n	IL-SH-200	Quercus x deamii		9/10/2012	11.7							38			100	100	1.1115	0	1.1115	5.85			Phylogeny of the Oaks of the Americas (2012)	Quercus x deamii	Quercus	
OAK-MOR-000303				M	IL-SH-101	Quercus canbyi Trel.		9/11/2012	6.6		1.69					35			100	100	0.627	0.16055	0.78755	4.145			Phylogeny of the Oaks of the Americas (2012)	Quercus canbyi	Lobatae	
OAK-MOR-000304					IL-SH-015	Quercus glauca = ?? Quercus lusitanica??		9/11/2012								36			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus glauca = ?? Quercus lusitanica??	Cyclobalanopsis-Glauca	
OAK-MOR-000305				M	IL-SH-149	Quercus germana Schltdl. & Cham.	Oak Street (photo voucher) Texas A & M ; Dallas , TX , USA ;	9/11/2012	19.6		10.1					33			100	100	1.862	0.9595	2.8215	14.85			Phylogeny of the Oaks of the Americas (2012)	Quercus germana	Quercus	
OAK-MOR-000306				n	IL-SH-070	Quercus x undulata, aff gambelii		9/11/2012	6.82							32			100	100	0.6479	0	0.6479	3.41			Phylogeny of the Oaks of the Americas (2012)	Quercus x undulata, aff gambelii	Quercus	
OAK-MOR-000307					IL-SH-150	Quercus fusiformis		9/11/2012	27.1							40			100	100	2.5745	0	2.5745	13.55			Phylogeny of the Oaks of the Americas (2012)	Quercus fusiformis	Quercus	
OAK-MOR-000308				n	IL-SH-071	Quercus x organensis		9/11/2012	27.4							35			100	100	2.603	0	2.603	13.7			Phylogeny of the Oaks of the Americas (2012)	Quercus x organensis	Quercus	
OAK-MOR-000309				n	IL-SH-064	Quecus cerroides  x faginea 'pyrenaica x pubescens'		9/11/2012	20.4							32			100	100	1.938	0	1.938	10.2			Phylogeny of the Oaks of the Americas (2012)	Quecus cerroides  x faginea 'pyrenaica x pubescens'	Quercus?	
OAK-MOR-000310				n	IL-SH-068	Quercus (pumila x elliottii)		9/11/2012								36			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus (pumila x elliottii)	Lobatae	
OAK-MOR-000311				n	IL-SH-115	Quercus x runcinata (A.DC.) Engelm. (on the Quercus imbricaria side)		9/11/2012								40			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus x runcinata	Lobatae	
OAK-MOR-000312					IL-SH-066	Quercus fusiformis (x Quercus virg. ?)		9/11/2012	44.1							38			100	100	4.1895	0	4.1895	22.05			Phylogeny of the Oaks of the Americas (2012)	Quercus fusiformis (x Quercus virg. ?)	#N/A	
OAK-MOR-000313				n	IL-SH-063	Quercus x undulata		9/11/2012	33.8							34			100	100	3.211	0	3.211	16.9			Phylogeny of the Oaks of the Americas (2012)	Quercus x undulata	Quercus	
OAK-MOR-000314				n	IL-SH-065	Quercus (faginea x rotundifolia)		9/11/2012	32.1							36			100	100	3.0495	0	3.0495	16.05			Phylogeny of the Oaks of the Americas (2012)	Quercus (faginea x rotundifolia)	Quercus	
OAK-MOR-000315				n	IL-SH-067	Quercus (buckleyi x gravesii)		9/11/2012								40			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus (buckleyi x gravesii)	Lobatae	
OAK-MOR-000316					IL-SH-069	Quercus crentata		9/11/2012								36			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus crentata	Cerris	
OAK-MOR-000317				Y	IL-SH-009	Quercus griffithii		9/11/2012	19							38			100	100	1.805	0	1.805	9.5			Phylogeny of the Oaks of the Americas (2012)	Quercus griffithii	Quercus	
OAK-MOR-000318					IL-SH-004	Quercus ilex		9/11/2012	43							35			100	100	4.085	0	4.085	21.5			Phylogeny of the Oaks of the Americas (2012)	Quercus ilex	Quercus	
OAK-MOR-000319					IL-SH-003	Quercus larbyi		9/11/2012								33			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus larbyi	?	
OAK-MOR-000320					IL-SH-006	Quercus inopina	Oak Street (Photo Voucher) Univ. Fla. 3/12; NE Polk FL; Adam Black	9/11/2012								38			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus inopina	Lobatae	
OAK-MOR-000321					IL-SH-020	Quercus langtry		9/11/2012											100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus langtry	Lobatae?	
OAK-MOR-000322					IL-SH-021	Quercus langtry		9/11/2012								35			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus langtry	Lobatae?	
OAK-MOR-000323					IL-SH-072	Quercus gunnunensis		9/11/2012								38			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus gunnunensis	?	
OAK-MOR-000324					IL-SH-073	Quercus trojana		9/11/2012								32			100	100	0	0	0	0			Phylogeny of the Oaks of the Americas (2012)	Quercus trojana	Cerris	
OAK-MOR-000325					IL-SH-074	Quercus trojana		9/11/2012	15.6							33			100	100	1.482	0	1.482	7.8			Phylogeny of the Oaks of the Americas (2012)	Quercus trojana	Cerris	
OAK-MOR-000326					IL-SH-077	Quercus tristis		9/11/2012	8.84							35			100	100	0.8398	0	0.8398	4.42			Phylogeny of the Oaks of the Americas (2012)	Quercus tristis	 Lobatae	
OAK-MOR-000327					IL-SH-145	Quercus franchetti		9/12/2012	24							33			100	100	2.28	0	2.28	12			Phylogeny of the Oaks of the Americas (2012)	Quercus franchetii	Cerris	
OAK-MOR-000328				Y	IL-SH-141	Quercus fabri		9/12/2012	17.3		6					39			100	100	1.6435	0.57	2.2135	11.65			Phylogeny of the Oaks of the Americas (2012)	Quercus fabri	Quercus	
OAK-MOR-000329					IL-SH-131	Quercus calliprinos		9/12/2012	21.2							40			100	100	2.014	0	2.014	10.6			Phylogeny of the Oaks of the Americas (2012)	Quercus calliprinos	Cerris	
OAK-MOR-000330					IL-SH-130	Quercus brantii		9/12/2012	18.7							32			100	100	1.7765	0	1.7765	9.35			Phylogeny of the Oaks of the Americas (2012)	Quercus brantii	Cerris	
OAK-MOR-000331					IL-SH-128	Quercus brantii		9/12/2012	24.3							33			100	100	2.3085	0	2.3085	12.15			Phylogeny of the Oaks of the Americas (2012)	Quercus brantii	Cerris	
OAK-MOR-000332					IL-SH-127	Quercus baronii		9/12/2012	39.6							35			100	100	3.762	0	3.762	19.8			Phylogeny of the Oaks of the Americas (2012)	Quercus baronii	?/Group Ilex	
OAK-MOR-000333					IL-SH-126	Quercus afares		9/12/2012	35.2										100	100	3.344	0	3.344	17.6			Phylogeny of the Oaks of the Americas (2012)	Quercus afares	Cerris	
OAK-MOR-000334					IL-SH-088	Quercus phillyrheoides		9/12/2012	15.5							40			100	100	1.4725	0	1.4725	7.75			Phylogeny of the Oaks of the Americas (2012)	Quercus phillyrheoides	?/Group Ilex	
OAK-MOR-000335					IL-SH-087	Quercus phillyrheoides		9/12/2012	18.5							39			100	100	1.7575	0	1.7575	9.25			Phylogeny of the Oaks of the Americas (2012)	Quercus phillyrheoides	?/Group Ilex	
OAK-MOR-000336				Y:TUBE A	CA-DAV-MH064	Quercus durata Jeps.	"collected directly from wild; origin known
California Native."	9/12/2012	31.4							36			100	100	2.983	0	2.983	15.7			Phylogeny of the Oaks of the Americas (2012)	Quercus durata	Quercus	
OAK-MOR-000337				X	CA-MH070	Quercus chrysolepis Liebm.	CA; off US route 50 downhill from Kiber's Flts before mile marker 4617; in area with sign that says 4632. Side of road with pull-off area that contains a small strean.	9/12/2012	16.3		10.5					38			100	100	1.5485	0.9975	2.546	13.4			Phylogeny of the Oaks of the Americas (2012)	Quercus chrysolepis	Protobalanus	
OAK-MOR-000338				0	"ARAM s.n. ""A"""	Quercus berberidifolia Liebm.	CA, USA. 1 mile west of Lake County line in Mendocino City, on route 20, south side of road by driveway.	9/12/2012	15.6		4.18					37			100	100	1.482	0.3971	1.8791	9.89			Phylogeny of the Oaks of the Americas (2012)	Quercus berberidifolia	Quercus	
OAK-MOR-000339				0	IL-SH-158	Quercus buckleyi Nixon & Dorr		9/17/2012	12.5		2.34					36			100	100	1.1875	0.2223	1.4098				Phylogeny of the Oaks of the Americas (2012)	Quercus buckleyi	Lobatae	
OAK-MOR-000340					IL-MOR-MH101	Quercus stellata Wangenh.		9/17/2012	13.2( orig 40.7)							39			100	100	#VALUE!	0	#VALUE!				Phylogeny of the Oaks of the Americas (2012)	Quercus stellata	Quercus	
OAK-MOR-000341				X	IL-MOR-MH096	Quercus lyrata Walter		9/17/2012	26.2										100	100	2.489	0	2.489				Phylogeny of the Oaks of the Americas (2012)	Quercus lyrata	Quercus	
OAK-MOR-000342				Y:TUBE A	IL-MOR-MH094	Quercus bicolor Willd.	collected along the Des Plaines River near Willow Springs  in Cook County Illinois U.S.A.	9/17/2012	35(originally 104)							39			100	100	#VALUE!	0	#VALUE!				Phylogeny of the Oaks of the Americas (2012)	Quercus bicolor	Quercus	
OAK-MOR-000343				0	IL-SH-137	Quercus chapmanii Sarg.		9/17/2012	16.1		4.34					39			100	100	1.5295	0.4123	1.9418				Phylogeny of the Oaks of the Americas (2012)	Quercus chapmanii	Quercus	
OAK-MOR-000344				0	IL-SH-133	Quercus canbyi Trel.		9/17/2012	7.36							39			100	100	0.6992	0	0.6992				Phylogeny of the Oaks of the Americas (2012)	Quercus canbyi	Lobatae	
OAK-MOR-000345				0	IL-SH-048	Quercus austrina Small		9/17/2012	12.4		5.58					39			100	100	1.178	0.5301	1.7081				Phylogeny of the Oaks of the Americas (2012)	Quercus austrina	Quercus	
OAK-MOR-000346				Y: Concentrated Tubes	IL-SH-045	Quercus dalechampii Ten.		9/17/2012	26.6		7.47					50			100	100	2.527	0.70965	3.23665				Phylogeny of the Oaks of the Americas (2012)	Quercus dalechampii	Quercus	
OAK-MOR-000347				0	IL-SH-179	Quercus boyntonii Beadle		9/17/2012	9.88		1.42					35			100	100	0.9386	0.1349	1.0735				Phylogeny of the Oaks of the Americas (2012)	Quercus boyntonii	Quercus	
OAK-MOR-000348				0	IL-SH-097	Quercus ellipsoidalis		9/17/2012	12.3		2.81					39			100	100	1.1685	0.26695	1.43545	7.555			Phylogeny of the Oaks of the Americas (2012)	Quercus ellipsoidalis	Lobatae	
OAK-MOR-000349				0	IL-SH-099	Quercus havardii Rydb.		9/17/2012	14.2							34			100	100	1.349	0	1.349				Phylogeny of the Oaks of the Americas (2012)	Quercus havardii	Quercus	
OAK-MOR-000350				0	IL-SH-100	Quercus gravesii Sudw.	  	9/17/2012	10.6							36			100	100	1.007	0	1.007				Phylogeny of the Oaks of the Americas (2012)	Quercus gravesii	Lobatae	
OAK-MOR-000351				M: Tube B	IL-MOR-MH009	Quercus polycarpa		9/18/2012	36.9		89.6					37			45	45	1.476	3.584	5.06				Phylogeny of the Oaks of the Americas (2012)	Quercus polycarpa	? Quercus?	
OAK-MOR-000352				Y:Tube A	IL-MOR-MH007	Quercus montana Willd.	ollected by: Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast Un;  on Cahas Mt. in Franklin County Virginia U.S.A. (37.141444, -79.995722 )	9/18/2012	31.5 (orig. 110)		118					38			45	45	#VALUE!	4.72	#VALUE!				Phylogeny of the Oaks of the Americas (2012)	Quercus montana	Quercus	
OAK-MOR-000353				Y: Add Tube A+B	IL-MOR-MH001	Quercus michauxii Nutt.	collected by: Peter J. van der Linden, The Morton Arboretum;  in picnic ground at Big Oak Tree State Park in Mississippi County Missouri U.S.A.. (36.644722, -89.285)	9/18/2012	69.4		44.8					39			45	45	2.776	1.792	4.568	57.1			Phylogeny of the Oaks of the Americas (2012)	Quercus michauxii	Quercus	
OAK-MOR-000354				Y:Tube A	IL-MOR-MH002	Quercus pagoda Raf. 		9/18/2012	181		45.2					45			45	45	7.24	1.808	9.048				Phylogeny of the Oaks of the Americas (2012)	Quercus pagoda	Lobatae	
OAK-MOR-000355				Y: Add Tube A+B	IL-MOR-MH012	Quercus marilandica Münchh	collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  along I-44 roadside, old Rte 66 in Franklin County Missouri U.S.A.. 	9/18/2012	48.1		60.8					47			45	45	1.924	2.432	4.356	54.45			Phylogeny of the Oaks of the Americas (2012)	Quercus marilandica	Lobatae	
OAK-MOR-000356				Y:TUBE A	IL-MOR-MH108 (=SD35)	Quercus macrocarpa Michx.	collected by: B. C. Anten near Carterville in Jasper County Missouri U.S.A.	9/18/2012	102							54			45	45	4.08	0	4.08				Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000357				Y: Add Tube A+B	IL-MOR-MH003	Quercus macrocarpa Michx.	collected by: Edward A. Hedborn, The Morton Arboretum;  near Sauk Lake in Sauk Trail Forest Preserve in Cook County Illinois U.S.A.	9/18/2012	30.3		75					54			45	45	1.212	3	4.212	52.65			Phylogeny of the Oaks of the Americas (2012)	Quercus macrocarpa	Quercus	
OAK-MOR-000358				Y:Tube A	IL-MOR-MH004	Quercus palustris MÃ¼nchh.		9/18/2012	122		67.6					61			45	45	4.88	2.704	7.584	94.8			Phylogeny of the Oaks of the Americas (2012)	Quercus palustris	Lobatae	
OAK-MOR-000359				Y:TUBE A	IL-MOR-MH109 (=13365v12)	Quercus alba L.	collected by: Dan Keiser;  on a farm  in Anoka County Minnesota U.S.A.	9/18/2012	15.9 (orig. 108)		52.6					58			45	45	#VALUE!	2.104	#VALUE!	15.9			Phylogeny of the Oaks of the Americas (2012)	Quercus alba	Quercus	
OAK-MOR-000360				Y: Tube B	IL-MOR-MH106 (=SD28*)	Quercus mongolica		9/18/2012	51		92.2					56			45	45	2.04	3.688	5.728				Phylogeny of the Oaks of the Americas (2012)	Quercus mongolica	Quercus	
OAK-MOR-000361				M	AZ-CH-09	Quercus emoryi Torr.		9/18/2012	53		12.6					48			45	45	2.12	0.504	2.624	32.8			Phylogeny of the Oaks of the Americas (2012)	Quercus emoryi	Lobatae	
OAK-MOR-000362				Y: Tube B	AZ-CH-10	Quercus grisea Liebm.		9/18/2012	39.9		100					51			45	45	1.596	4	5.596				Phylogeny of the Oaks of the Americas (2012)	Quercus grisea	Quercus	
OAK-MOR-000363		don't use			AZ-CH-08	Quercus grisea Liebm.		9/18/2012								46			45	45	0	0	0				Phylogeny of the Oaks of the Americas (2012)	Quercus grisea	Quercus	
OAK-MOR-000364					AZ-CH-03	Quercus hypoleucoides A. Camus		9/18/2012	63.8		23					73			45	45	2.552	0.92	3.472				Phylogeny of the Oaks of the Americas (2012)	Quercus hypoleucoides	Lobatae	
OAK-MOR-000365					AZ-CH-07	Quercus toumeyi Sarg.		9/18/2012	64.2		16.3					44			55	65	3.21	0.978	4.188	40.25			Phylogeny of the Oaks of the Americas (2012)	Quercus toumeyi	Quercus	
OAK-MOR-000366				X	AZ-CH-06	Quercus turbinella Greene		9/18/2012	20.6		19					41			45	45	0.824	0.76	1.584				Phylogeny of the Oaks of the Americas (2012)	Quercus turbinella	Quercus	
OAK-MOR-000367				X	CA-MH069	Quercus kelloggii Newb.		9/18/2012	80.4		21.2					50			45	45	3.216	0.848	4.064				Phylogeny of the Oaks of the Americas (2012)	Quercus kelloggii	Lobatae	
OAK-MOR-000368		don't use		X	CA-MH070	Quercus chrysolepis Liebm.		9/18/2012								40			45	45	0	0	0				Phylogeny of the Oaks of the Americas (2012)	Quercus chrysolepis	Protobalanus	
OAK-MOR-000369				X	CA-DAV-MH058	Quercus turbinella Greene		9/18/2012	42		10.8					42			45	45	1.68	0.432	2.112				Phylogeny of the Oaks of the Americas (2012)	Quercus turbinella	Quercus	
OAK-MOR-000370		Don't UES		0	CA-MH072	Quercus wislizeni A. DC.		9/18/2012	13.3		3.58					40			45	45	0.532	0.1432	0.6752				Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000371		don't use		0	"ARAM s.n. ""A"""	Quercus berberidifolia Liebm.		9/18/2012								40			45	45	0	0	0				Phylogeny of the Oaks of the Americas (2012)	Quercus berberidifolia	Quercus	
OAK-MOR-000372		don't use		X	CA-MH073	Quercus douglasii Hook. & Arn.		9/18/2012								43			45	45	0	0	0				Phylogeny of the Oaks of the Americas (2012)	Quercus douglasii	Quercus	
OAK-MOR-000373				X	CA-MH074	Quercus lobata Née		9/18/2012	41.2		19.4					40			45	45	1.648	0.776	2.424				Phylogeny of the Oaks of the Americas (2012)	Quercus lobata	Quercus	
OAK-MOR-000374					"ARAM s.n. ""C"""	Quercus wislizeni A. DC.		9/18/2012	4.48		4.88					44			45	45	0.1792	0.1952	0.3744				Phylogeny of the Oaks of the Americas (2012)	Quercus wislizeni	Lobatae	
OAK-MOR-000375				Y:Tube A	"ARAM s.n. ""B"""	Quercus lobata Née		9/18/2012	52.8		24.8					43			75	45	3.696	0.992	4.688				Phylogeny of the Oaks of the Americas (2012)	Quercus lobata	Quercus	
OAK-MOR-000376				Y:Tube A	CA-DAV-MH036	Quercus grisea Liebm.	New Mexico: 27.3 Miles Sw. of Silver City. 6000 ft. D. Cavagnaro 142. 2 Oct 1963.	9/18/2012	61		19.7					39			75	45	4.27	0.788	5.058				Phylogeny of the Oaks of the Americas (2012)	Quercus grisea	Quercus	
OAK-MOR-000377				0	CA-MH068	Quercus vacciniifolia Kellogg		9/18/2012	33.8		7.86					43			75	45	2.366	0.3144	2.6804				Phylogeny of the Oaks of the Americas (2012)	Quercus vacciniifolia	Protobalanus	
OAK-MOR-000378				0	IL-SH-048	Quercus austrina Small		9/18/2012	22.8		8.58					40			75	45	1.596	0.3432	1.9392				Phylogeny of the Oaks of the Americas (2012)	Quercus austrina	Quercus	
OAK-MOR-000379				Y: Concentrated Tubes	IL-SH-045	Quercus dalechampii Ten.		9/18/2012	28.8	MIA-used up	10.8					38			75	45	2.016	0.432	2.448				Phylogeny of the Oaks of the Americas (2012)	Quercus dalechampii	Quercus	
OAK-MOR-000380				X	IL-SH-044	Quercus macranthera subsp. syspirensis (K.Koch) Menitsky		9/18/2012	23.6		14.9					42			75	45	1.652	0.596	2.248				Phylogeny of the Oaks of the Americas (2012)	Quercus macranthera	Mesobalanus	
OAK-MOR-000381				X	IL-SH-041	Quercus pubescens		9/18/2012	11.2		3.09					43			75	45	0.784	0.1236	0.9076				Phylogeny of the Oaks of the Americas (2012)	Quercus pubescens	Quercus	
OAK-MOR-000382				0	IL-MOR-MH104	Quercus oglethorpensis Duncan		9/18/2012	12.5		4.94					39			75	45	0.875	0.1976	1.0726				Phylogeny of the Oaks of the Americas (2012)	Quercus oglethorpensis	Quercus	
OAK-MOR-000383				Y:Tube A	IL-MOR-MH103	Quercus muehlenbergii Engelm.	collected by: Connor B. Shaw, Possibility Place Nursery, Inc.;  in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line in Will County Illinois U.S.A.	9/18/2012	25.9 (orig. 50.6)		17.6					44			75	45	#VALUE!	0.704	#VALUE!				Phylogeny of the Oaks of the Americas (2012)	Quercus muehlenbergii	Quercus	
OAK-MOR-000384		X		ethanol precip with #68; Tube gone	IL-MOR-MH100	Quercus falcata Michx.		9/18/2012	36.4		14.8					45			75	45	2.548	0.592		25.6			Phylogeny of the Oaks of the Americas (2012)	Quercus falcata	Lobatae	
OAK-MOR-000385				Y:Tube A	IL-MOR-MH096	Quercus lyrata Walter		9/18/2012	48.4		15.7					40			75	45	3.388	0.628	4.016				Phylogeny of the Oaks of the Americas (2012)	Quercus lyrata	Quercus	
OAK-MOR-000386				0	IL-MOR-MH097	Quercus petraea (Matt.) Liebl.		9/18/2012	38.4		8					43			75	45	2.688	0.32	3.008				Phylogeny of the Oaks of the Americas (2012)	Quercus petraea	Quercus	
OAK-MOR-000387				Y:Tube A- double check voucher	IL-MOR-MH092	Quercus gambelii Nutt.		9/20/2012	35.4		5.28								100	45	3.363	0.2112	3.5742				Phylogeny of the Oaks of the Americas (2012)	Quercus gambelii	Quercus	
OAK-MOR-000388				Y:Tube A	IL-MOR-MH095	Quercus stellata Wangenh.	collected by: Peter J. van der Linden, The Morton Arboretum;  in the Donnellson Unit of Shimek State Forest  in Lee County Iowa U.S.A.	9/20/2012	47		6.39								100	45	4.465	0.2556	4.7206				Phylogeny of the Oaks of the Americas (2012)	Quercus stellata	Quercus	
OAK-MOR-000389				X	IL-MOR-MH085	Quercus rubra L.	collected by: Edward A. Hedborn, The Morton Arboretum;  from above Sauk Lake in Sauk Trail Forest Preserve in Cook County Illinois U.S.A.	9/20/2012	26.5		4.53								100	45	2.5175	0.1812	2.6987				Phylogeny of the Oaks of the Americas (2012)	Quercus rubra	Lobatae	
OAK-MOR-000390				Y:Tube A	IL-MOR-MH087	Quercus ellipsoidalis	collected by: Peter van der Linden & Ed Hedborn, The Morton Arboretum;  due southwest of Apple River Canyon State Park in Jo Daviess County Illinois U.S.A.	9/20/2012	58		20.4								100	45	5.51	0.816	6.326				Phylogeny of the Oaks of the Americas (2012)	Quercus ellipsoidalis	Lobatae	
OAK-MOR-000391				Y:Tube A	IL-MOR-MH088	Quercus imbricaria Michx.	collected by: Michael E. Lenart  in Clay County Illinois U.S.A.	9/20/2012	57		33.8								100	45	5.415	1.352	6.767				Phylogeny of the Oaks of the Americas (2012)	Quercus imbricaria	Lobatae	
OAK-MOR-000392				Y:Tube A	IL-MOR-MH084	Quercus robur L.		9/20/2012	60		17								100	45	5.7	0.68	6.38				Phylogeny of the Oaks of the Americas (2012)	Quercus robur	Quercus	
OAK-MOR-000393				Y:Tube A	IL-MOR-MH076	Quercus velutina Lam.	collected by: Peter J. van der Linden, The Morton Arboretum;  along Merioneth Road  in Will County Illinois U.S.A.	9/20/2012	56		17.8								100	45	5.32	0.712	6.032				Phylogeny of the Oaks of the Americas (2012)	Quercus velutina	Lobatae	
OAK-MOR-000394				Y:Tube A	CA-DAV-MH037	Quercus engelmannii Greene		9/20/2012	57		37.3								100	45	5.415	1.492	6.907				Phylogeny of the Oaks of the Americas (2012)	Quercus engelmannii	Quercus	
OAK-MOR-000395				Y:Tube A	CA-DAV-MH041	Quercus pungens Liebm.		9/20/2012	45.4		8.83								100	45	4.313	0.3532	4.6662				Phylogeny of the Oaks of the Americas (2012)	Quercus pungens	Quercus	
OAK-MOR-000396					CA-DAV-MH043	Quercus douglasii Hook. & Arn.	CA: Solano Co.: Winters: Plant was grown from seed collected along Central Lane, off of Pitt School Rd. John Lichter s.n.	9/20/2012	54		6.27								100	45	5.13	0.2508	5.3808				Phylogeny of the Oaks of the Americas (2012)	Quercus douglasii	Quercus	
OAK-MOR-000397				Y:Tube A	CA-DAV-MH039	Quercus vaseyana Buckley	"12.3 Miles South of Juno: Val Verde County: Texas: 1500 ft.
D. Cavagnaro 170. 7 Oct 1963."	9/20/2012	51		13.7								100	45	4.845	0.548	5.393				Phylogeny of the Oaks of the Americas (2012)	Quercus vaseyana	Quercus	
OAK-MOR-000398				Y:Tube A	CA-DAV-MH040	Quercus oblongifolia Torr.		9/20/2012	34.7	used up	3.24								100	45	3.2965	0.1296	3.4261				Phylogeny of the Oaks of the Americas (2012)	Quercus oblongifolia	Quercus	
